Node_name	Node_name_B	Score
YNL040W	YDL126C	901
YFL004W	YGR233C	858
YFL004W	YDR188W	734
YHR075C	YAL016W	944
YHR075C	YMR158W	977
YDR044W	YDR232W	966
YPR028W	YER087C-B	877
YDR004W	YMR201C	798
YGR286C	YBR227C	816
YGR286C	YGR065C	841
YPR010C	YLR384C	916
YPR010C	YKR079C	927
YPR010C	YDR465C	946
YPR010C	YKL213C	701
YPR010C	YMR290C	997
YPR010C	YJL148W	999
YPR010C	YJR002W	979
YPR010C	YGL148W	926
YPR010C	YPR163C	982
YPR010C	YJR132W	917
YPR010C	YPL263C	918
YPR010C	YKR025W	854
YML015C	YKL028W	946
YKR031C	YER019W	940
YKR031C	YLR380W	899
YHR128W	YNR012W	983
YHR128W	YER056C	888
YOR217W	YOR304W	922
YOR217W	YLR399C	920
YOR217W	YMR201C	910
YEL021W	YNR012W	992
YEL021W	YEL063C	951
YER129W	YGL180W	815
YNR022C	YNL177C	937
YNR022C	YMR158W	986
YGR074W	YKL183W	862
YGR074W	YLR117C	999
YDL044C	YER154W	902
YDL044C	YMR257C	864
YJR148W	YDL080C	978
YJR148W	YJR016C	998
YML021C	YLR245C	930
YML021C	YMR201C	844
YBR078W	YLR342W	853
YBR078W	YOL030W	833
YBR078W	YMR307W	915
YGL048C	YEL037C	932
YGL048C	YDR135C	917
YKR086W	YPR101W	977
YKR086W	YLR117C	999
YLR342W	YBR078W	853
YLR342W	YNL192W	830
YIL162W	YCL040W	967
YIL162W	YLR025W	720
YLR384C	YPR010C	916
YLR384C	YML014W	720
YLR384C	YNL030W	802
YBR170C	YKL213C	990
YBR170C	YMR247C	983
YKR079C	YPR010C	927
YKR079C	YLR059C	957
YOR154W	YML001W	808
YKL183W	YGR074W	862
YDR465C	YPR010C	946
YDR465C	YBR030W	837
YIL117C	YKR091W	790
YPL256C	YAL016W	838
YPL256C	YPL267W	837
YEL013W	YOL003C	883
YEL013W	YLR072W	853
YBR022W	YDR225W	764
YML014W	YLR384C	720
YER154W	YDL044C	902
YER154W	YIL022W	867
YML036W	YBR233W	719
YKL213C	YPR010C	701
YKL213C	YBR170C	990
YKL213C	YDL013W	747
YKL213C	YEL037C	782
YKL213C	YDL126C	997
YKR103W	YCR011C	731
YOR067C	YMR148W	743
YOR067C	YOR085W	779
YER087C-B	YPR028W	877
YER087C-B	YOR085W	870
YGL100W	YMR213W	970
YCL040W	YIL162W	967
YCL040W	YMR251W-A	872
YDR488C	YML001W	803
YDL013W	YKL213C	747
YDL013W	YPL269W	907
YLR245C	YML021C	930
YLR245C	YNR012W	994
YOL003C	YEL013W	883
YOL003C	YBR023C	860
YGR144W	YDL080C	732
YGR144W	YJR142W	888
YFR021W	YHR171W	999
YFR021W	YDL113C	838
YFR021W	YBL078C	999
YFR021W	YNL325C	992
YFR021W	YPR185W	962
YLR228C	YMR202W	921
YIL022W	YER154W	867
YIL022W	YJR121W	942
YIL022W	YLR259C	988
YIL022W	YBR227C	739
YIL022W	YMR203W	999
YOR038C	YMR213W	889
YOR038C	YDR225W	819
YKR091W	YIL117C	790
YKR091W	YER111C	902
YHR132W-A	YGL190C	924
YGL190C	YHR132W-A	924
YGL190C	YAL016W	999
YMR247C	YBR170C	983
YMR247C	YHR171W	908
YDR155C	YMR201C	904
YDR155C	YDR295C	900
YMR290C	YPR010C	997
YMR290C	YLL008W	999
YMR290C	YDR091C	995
YMR290C	YJR002W	999
YMR290C	YKL143W	978
YMR290C	YGL120C	999
YMR290C	YPR163C	986
YMR290C	YOR063W	984
YMR290C	YIL019W	759
YJR121W	YIL022W	942
YJR121W	YBR127C	945
YOR304W	YOR217W	922
YOR304W	YFR013W	828
YKL195W	YMR002W	979
YKL195W	YMR038C	975
YKL195W	YKL084W	959
YEL037C	YGL048C	932
YEL037C	YKL213C	782
YEL037C	YER021W	925
YEL037C	YER143W	994
YEL037C	YMR201C	998
YJL148W	YPR010C	999
YJL148W	YER004W	768
YMR122W-A	YDR524C-B	820
YLR401C	YMR049C	908
YLR179C	YNL185C	870
YLR312C	YPR049C	909
YLL008W	YMR290C	999
YLL008W	YBR192W	920
YDL080C	YJR148W	978
YDL080C	YGR144W	732
YGL027C	YCR017C	847
YGL027C	YPR159W	933
YGL027C	YOR085W	991
YDR527W	YLR399C	920
YDR527W	YJR072C	838
YGL180W	YER129W	815
YGL180W	YPR185W	999
YGL026C	YHL016C	889
YGL026C	YJR016C	916
YBR137W	YPL125W	817
YNL178W	YPL239W	998
YNL178W	YMR158W	963
YBR192W	YLL008W	920
YBR192W	YLR220W	904
YDR091C	YMR290C	995
YDR091C	YLR192C	992
YLR399C	YOR217W	920
YLR399C	YDR527W	920
YBR233W	YML036W	719
YBR233W	YPR163C	758
YMR251W-A	YCL040W	872
YMR251W-A	YDR524C-B	822
YCR011C	YKR103W	731
YCR011C	YDR135C	757
YHR171W	YFR021W	999
YHR171W	YMR247C	908
YNR073C	YDL246C	929
YNR073C	YEL069C	818
YJR002W	YPR010C	979
YJR002W	YMR290C	999
YJR002W	YCR057C	999
YJR002W	YMR049C	999
YJR002W	YIL019W	992
YMR213W	YGL100W	970
YMR213W	YOR038C	889
YMR213W	YLR117C	999
YNL177C	YNR022C	937
YNL177C	YMR158W	988
YNL177C	YNL185C	921
YNR012W	YHR128W	983
YNR012W	YEL021W	992
YNR012W	YLR245C	994
YNL192W	YLR342W	830
YNL192W	YJL099W	770
YDL027C	YDR286C	931
YGR189C	YOL030W	782
YMR002W	YKL195W	979
YMR002W	YMR203W	952
YDR183W	YOR281C	969
YGR233C	YFL004W	858
YGR233C	YJL117W	853
YNL264C	YJL145W	882
YPL132W	YMR038C	789
YPL132W	YER058W	795
YLR089C	YDR043C	930
YAL016W	YHR075C	944
YAL016W	YPL256C	838
YAL016W	YGL190C	999
YAL016W	YNL217W	947
YAL016W	YBL016W	942
YER021W	YEL037C	925
YER021W	YJR084W	907
YHR207C	YNL030W	806
YMR038C	YKL195W	975
YMR038C	YPL132W	789
YGL148W	YPR010C	926
YGL148W	YDR035W	941
YML001W	YOR154W	808
YML001W	YDR488C	803
YML001W	YDL234C	996
YDR043C	YLR089C	930
YDR043C	YBR083W	833
YER143W	YEL037C	994
YCR057C	YJR002W	999
YCR057C	YNL035C	955
YMR049C	YLR401C	908
YMR049C	YJR002W	999
YEL063C	YEL021W	951
YEL063C	YIL015W	700
YEL063C	YEL069C	752
YEL063C	YDL222C	790
YPL239W	YNL178W	998
YPL239W	YKL143W	974
YDL246C	YNR073C	929
YIL015W	YEL063C	700
YIL015W	YDR461W	948
YOL030W	YBR078W	833
YOL030W	YGR189C	782
YIL041W	YDL209C	919
YLR356W	YDL113C	930
YPR049C	YLR312C	909
YPR049C	YPR185W	994
YER056C	YHR128W	888
YKL143W	YMR290C	978
YKL143W	YPL239W	974
YER145C	YFL041W	993
YER145C	YKL220C	832
YDR524C-B	YMR122W-A	820
YDR524C-B	YMR251W-A	822
YNL225C	YDR273W	788
YNL225C	YPL269W	708
YNL217W	YAL016W	947
YNL217W	YLR019W	908
YMR307W	YBR078W	915
YMR307W	YPR159W	891
YDL209C	YIL041W	919
YDL209C	YLR117C	999
YHL016C	YGL026C	889
YMR148W	YOR067C	743
YPR199C	YDR135C	808
YBR154C	YKL028W	998
YBR154C	YKR025W	999
YNR009W	YER111C	872
YNR009W	YNL309W	967
YDR232W	YDR044W	966
YDR232W	YBR227C	781
YPR023C	YDR295C	906
YPR023C	YDR181C	900
YOR327C	YHR161C	946
YOR327C	YOR085W	901
YLR259C	YIL022W	988
YLR259C	YER019W	896
YLR259C	YDR188W	911
YDR135C	YGL048C	917
YDR135C	YCR011C	757
YDR135C	YPR199C	808
YDR225W	YBR022W	764
YDR225W	YOR038C	819
YDL113C	YFR021W	838
YDL113C	YLR356W	930
YLR059C	YKR079C	957
YMR158W	YHR075C	977
YMR158W	YNR022C	986
YMR158W	YNL178W	963
YMR158W	YNL177C	988
YFR013W	YOR304W	828
YFL041W	YER145C	993
YFL041W	YLR220W	882
YBR030W	YDR465C	837
YFL038C	YDL234C	968
YFL038C	YOR085W	912
YER004W	YJL148W	768
YBR083W	YDR043C	833
YBR083W	YBL016W	963
YLR220W	YBR192W	904
YLR220W	YFL041W	882
YGR054W	YLR192C	717
YGL120C	YMR290C	999
YGL120C	YLR117C	979
YPL125W	YBR137W	817
YPL125W	YJR132W	939
YBL029C-A	YDL222C	706
YEL069C	YNR073C	818
YEL069C	YEL063C	752
